Date,Time,Open,High,Low,Close,Volume
2021.06.08,20:00,15668.6,15685.4,15663.7,15672.6,12067
2021.06.09,00:00,15664.1,15680.0,15650.6,15672.9,823
2021.06.09,04:00,15673.4,15675.4,15650.4,15656.5,3447
2021.06.09,08:00,15656.0,15669.4,15609.7,15629.7,28218
2021.06.09,12:00,15629.7,15630.7,15501.5,15554.3,35381
2021.06.09,16:00,15554.7,15600.0,15524.0,15590.7,49621
2021.06.09,20:00,15590.5,15596.7,15563.0,15574.7,8938
2021.06.10,00:00,15572.5,15587.0,15565.3,15584.0,920
2021.06.10,04:00,15583.5,15613.0,15579.2,15608.0,2943
2021.06.10,08:00,15608.4,15611.3,15514.3,15567.3,35038
2021.06.10,12:00,15567.7,15621.0,15528.3,15600.3,45615
2021.06.10,16:00,15600.7,15640.3,15547.0,15588.9,63327
2021.06.10,20:00,15588.5,15596.9,15577.5,15587.0,12786
2021.06.11,00:00,15590.3,15594.3,15568.5,15590.8,1705
2021.06.11,04:00,15591.7,15600.7,15579.8,15598.7,2220
2021.06.11,08:00,15599.2,15604.0,15548.3,15588.3,26229
2021.06.11,12:00,15588.7,15681.0,15585.0,15674.0,25814
2021.06.11,16:00,15673.5,15709.9,15667.0,15700.7,40236
2021.06.11,20:00,15701.1,15723.7,15695.5,15720.7,3907
2021.06.14,00:00,15720.7,15729.0,15706.7,15719.0,942
2021.06.14,04:00,15718.7,15733.7,15712.0,15724.0,1972
2021.06.14,08:00,15723.9,15806.7,15700.0,15729.0,33850
2021.06.14,12:00,15729.0,15754.0,15693.0,15709.0,23931
2021.06.14,16:00,15708.5,15728.0,15668.8,15680.9,34931
2021.06.14,20:00,15681.7,15724.9,15678.5,15718.9,5498
2021.06.15,00:00,15727.0,15736.7,15715.3,15736.0,1116
2021.06.15,04:00,15736.4,15760.7,15720.7,15759.0,4130
2021.06.15,08:00,15759.4,15789.0,15733.8,15778.0,26123
2021.06.15,12:00,15778.5,15792.7,15735.0,15752.0,21197
2021.06.15,16:00,15752.0,15759.0,15712.0,15733.0,32269
2021.06.15,20:00,15733.4,15745.7,15721.0,15743.5,10060
2021.06.16,00:00,15741.7,15745.0,15732.8,15744.2,502
2021.06.16,04:00,15743.7,15753.7,15729.8,15732.9,2593
2021.06.16,08:00,15732.2,15760.0,15679.0,15702.0,25185
2021.06.16,12:00,15702.0,15756.5,15675.0,15699.0,23192
2021.06.16,16:00,15699.0,15731.3,15695.3,15709.7,31196
2021.06.16,20:00,15709.0,15741.7,15668.5,15710.8,32159
2021.06.17,00:00,15660.7,15665.2,15617.3,15644.7,3029
2021.06.17,04:00,15645.2,15679.7,15632.8,15679.0,6253
2021.06.17,08:00,15678.9,15724.3,15631.0,15682.3,20630
2021.06.17,12:00,15682.0,15720.7,15675.3,15716.0,22104
2021.06.17,16:00,15716.0,15751.3,15679.8,15709.5,30555
2021.06.17,20:00,15709.9,15758.7,15708.0,15733.5,8343
2021.06.18,00:00,15731.8,15733.1,15712.7,15730.0,900
2021.06.18,04:00,15729.3,15743.7,15713.7,15720.0,3319
2021.06.18,08:00,15720.4,15738.0,15671.0,15684.0,34622
2021.06.18,12:00,15683.5,15703.0,15496.0,15514.3,78940
2021.06.18,16:00,15514.3,15518.0,15423.3,15473.0,111577
2021.06.18,20:00,15472.9,15483.7,15436.8,15437.7,19283
2021.06.21,00:00,15424.0,15440.4,15403.5,15419.0,2239
2021.06.21,04:00,15418.9,15424.7,15276.0,15314.3,8497
2021.06.21,08:00,15313.3,15497.0,15289.5,15489.3,74580
2021.06.21,12:00,15489.3,15573.0,15477.0,15556.0,47517
2021.06.21,16:00,15555.5,15622.7,15546.0,15610.7,37586
2021.06.21,20:00,15610.5,15645.7,15607.5,15641.7,7547
2021.06.22,00:00,15635.7,15642.2,15615.0,15619.0,1029
2021.06.22,04:00,15619.4,15651.7,15610.2,15647.9,2969
2021.06.22,08:00,15647.3,15660.7,15512.7,15541.0,48864
2021.06.22,12:00,15541.0,15636.3,15536.3,15594.3,43944
2021.06.22,16:00,15594.7,15653.0,15580.0,15619.7,47930
2021.06.22,20:00,15619.0,15654.7,15618.5,15628.5,10661
2021.06.23,00:00,15646.8,15652.0,15622.8,15635.0,1023
2021.06.23,04:00,15634.7,15666.7,15629.8,15653.9,2683
2021.06.23,08:00,15653.8,15675.0,15555.5,15567.0,40831
